Time [s],Packet ID,MOSI,MISO
0.0597904500,7,0x1774,0x0000
0.0597934100,7,0x1774,0x0000
0.0597963800,7,0x1774,0x0000
0.0597993400,7,0x1774,0x0000
0.0598023000,7,0x1774,0x0000
0.0598052700,7,0x1774,0x0000
0.0598082300,7,0x1774,0x0000
0.0598111900,7,0x1774,0x0000
0.0598141600,7,0x1774,0x0000
0.0598171200,7,0x1774,0x0000
0.0598200800,7,0x1774,0x0000
0.0598230500,7,0x1774,0x0000
0.0598260100,7,0x1774,0x0000
0.0598289700,7,0x1774,0x0000
0.0598319300,7,0x1774,0x0000
0.0598349000,7,0x1774,0x0000
0.0598378600,7,0x1774,0x0000
0.0598408200,7,0x1774,0x0000
0.0598437900,7,0x1774,0x0000
0.0598467500,7,0x1774,0x0000
0.0598497100,7,0x1774,0x0000
0.0598526800,7,0x1774,0x0000
0.0598556400,7,0x1774,0x0000
0.0598586000,7,0x1774,0x0000
0.0598615600,7,0x1774,0x0000
0.0598645300,7,0x1774,0x0000
0.0598674900,7,0x1774,0x0000
0.0598704500,7,0x1774,0x0000
0.0598734200,7,0x1774,0x0000
0.0598763800,7,0x1774,0x0000
0.0598793400,7,0x1774,0x0000
0.0598823100,7,0x1774,0x0000
0.0598852700,7,0x1774,0x0000
0.0598882300,7,0x1774,0x0000
0.0598911900,7,0x1774,0x0000
0.0598941600,7,0x1774,0x0000
0.0598971200,7,0x1774,0x0000
0.0599000800,7,0x1774,0x0000
0.0599030500,7,0x1774,0x0000
0.0599060100,7,0x1774,0x0000
0.0599089700,7,0x1774,0x0000
0.0599119300,7,0x1774,0x0000
0.0599149000,7,0x1774,0x0000
0.0599178600,7,0x1774,0x0000
0.0599208200,7,0x1774,0x0000
0.0599237900,7,0x1774,0x0000
0.0599267500,7,0x1774,0x0000
0.0599297100,7,0x1774,0x0000
0.0599326800,7,0x1774,0x0000
0.0599356400,7,0x1774,0x0000
0.0599386000,7,0x1774,0x0000
0.0599415600,7,0x1774,0x0000
0.0599445300,7,0x1774,0x0000
0.0599474900,7,0x1774,0x0000
0.0599504500,7,0x1774,0x0000
0.0599534200,7,0x1774,0x0000
0.0599563800,7,0x1774,0x0000
0.0599593400,7,0x1774,0x0000
0.0599623100,7,0x1774,0x0000
0.0599652700,7,0x1774,0x0000
0.0599682300,7,0x1774,0x0000
0.0599711900,7,0x1774,0x0000
0.0599741600,7,0x1774,0x0000
0.0599771200,7,0x1774,0x0000
0.0599800800,7,0x1774,0x0000
0.0599830500,7,0x1774,0x0000
0.0599860100,7,0x1774,0x0000
0.0599889700,7,0x1774,0x0000
0.0599919300,7,0x1774,0x0000
0.0599949000,7,0x1774,0x0000
0.0599978600,7,0x1774,0x0000
0.0600008200,7,0x1774,0x0000
0.0600037900,7,0x1774,0x0000
0.0600067500,7,0x1774,0x0000
0.0600097100,7,0x1774,0x0000
0.0600126800,7,0x1774,0x0000
0.0600156400,7,0x1774,0x0000
0.0600186000,7,0x1774,0x0000
0.0600215600,7,0x1774,0x0000
0.0600245300,7,0x1774,0x0000
0.0600274900,7,0x1774,0x0000
0.0600304500,7,0x1774,0x0000
0.0600334200,7,0x1774,0x0000
0.0600363800,7,0x1774,0x0000
0.0600393400,7,0x1774,0x0000
0.0600423100,7,0x1774,0x0000
0.0600452700,7,0x1774,0x0000
0.0600482300,7,0x1774,0x0000
0.0600511900,7,0x1774,0x0000
0.0600541600,7,0x1774,0x0000
0.0600571200,7,0x1774,0x0000
0.0600600800,7,0x1774,0x0000
0.0600630500,7,0x1774,0x0000
0.0600660100,7,0x1774,0x0000
0.0600689700,7,0x1774,0x0000
0.0600719400,7,0x1774,0x0000
0.0600749000,7,0x1774,0x0000
0.0600778600,7,0x1774,0x0000
0.0600808200,7,0x1774,0x0000
0.0600837900,7,0x1774,0x0000
0.0600867500,7,0x1774,0x0000
0.0600897100,7,0x1774,0x0000
0.0600926800,7,0x1774,0x0000
0.0600956400,7,0x1774,0x0000
0.0600986000,7,0x1774,0x0000
0.0601015600,7,0x1774,0x0000
0.0601045300,7,0x1774,0x0000
0.0601074900,7,0x1774,0x0000
0.0601104500,7,0x1774,0x0000
0.0601134200,7,0x1774,0x0000
0.0601163800,7,0x1774,0x0000
0.0601193400,7,0x1774,0x0000
0.0601223100,7,0x1774,0x0000
0.0601252700,7,0x1774,0x0000
0.0601282300,7,0x1774,0x0000
0.0601311900,7,0x1774,0x0000
0.0601341600,7,0x1774,0x0000
0.0601371200,7,0x1774,0x0000
0.0601400800,7,0x1774,0x0000
0.0601430500,7,0x1774,0x0000
0.0601460100,7,0x1774,0x0000
0.0601489700,7,0x1774,0x0000
0.0601519400,7,0x1774,0x0000
0.0601549000,7,0x1774,0x0000
0.0601578600,7,0x1774,0x0000
0.0601608200,7,0x1774,0x0000
0.0601637900,7,0x1774,0x0000
